index,id,title,authors,field,field_multi,is_AP,is_NA,community,four
1565,2503.05882v1,Practical Topics in Optimization,Jun Lu,,,0,1,7,NA-only
1566,2502.11017v2,Scalable Binary CUR Low-Rank Approximation Algorithm,Bowen Su,,,0,1,1,NA-only
1567,2502.10949v1,Learning the Exact Time Integration Algorithm for Initial Value Problems by Randomized Neural Networks,Suchuan Dong; Naxian Ni,,,0,1,6,NA-only
1568,2502.10888v1,Tensor parametric Hamiltonian operator inference,Arjun Vijaywargiya; Shane A. McQuarrie; Anthony Gruber,,,0,1,6,NA-only
1569,2502.10870v1,Hybrid high-order methods for elasto-acoustic wave propagation in the time domain,Romain Mottier; Alexandre Ern; Rekha Khot; Laurent Guillot,,,0,1,28,NA-only
1570,2502.10850v1,Accelerating convergence of a natural convection solver by continuous data assimilation,Elizabeth Hawkins,AP_NA,AP;NA,1,1,44,AP+NA
1571,2502.10770v1,A coupled HDG/DG method for porous media with conducting/sealing faults,Aycil Cesmelioglu; Miroslav Kuchta; Jeonghun J. Lee; Sander Rhebergen,,,0,1,25,NA-only
1572,2502.10665v1,b-d-Lawson: a method for the interpolation constrained rational minimax approximation,Lei-Hong Zhang; Ya-Nan Zhang,,,0,1,5,NA-only
1573,2502.10613v1,Function recovery and optimal sampling in the presence of nonuniform evaluation costs,Ben Adcock,,,0,1,5,NA-only
1574,2502.10600v1,Weighted quantization using MMD: From mean field to mean shift via gradient flows,Ayoub Belhadji; Daniel Sharp; Youssef Marzouk,,,0,1,7,NA-only
1575,2502.10289v1,Investigation of the Estimation Accuracy of 5 Different Numerical ODE Solvers on 3 Case Studies,Hamidreza Moradi; Erfan Kefayat; Hamideh Hossei,,,0,1,24,NA-only
1576,2502.10199v1,On the unconventional Hug integrator,Christophe Andrieu; J. M. Sanz-Serna,,,0,1,13,NA-only
1577,2502.10152v1,Characterization of Logarithmic Fekete Critical Configurations of at Most Six Points in All Dimensions,Diego Armentano; Leandro Bentancur; Federico Carrasco; Marcelo Fiori; Matías Valdés; Mauricio Velasco,,,0,1,36,NA-only
1578,2502.10100v1,Statistical data analysis for Tourism in Poland in R Programming Environment,Saad Ahmed Jamal,,,0,1,7,NA-only
1579,2502.10084v1,An adaptive importance sampling algorithm for risk-averse optimization,Sandra Pieraccini; Tommaso Vanzan,,,0,1,7,NA-only
1580,2502.10069v1,Bound preserving {P}oint-{A}verage-{M}oment {P}olynomi{A}l-interpreted ({PAMPA}) on polygonal meshes,Rémi Abgrall; Yongle Liu; Walter Boscheri,,,0,1,4,NA-only
1581,2502.10033v1,Phi-FEM-FNO: a new approach to train a Neural Operator as a fast PDE solver for variable geometries,Michel Duprez; Vanessa Lleras; Alexei Lozinski; Vincent Vigon; Killian Vuillemot,,,0,1,6,NA-only
1582,2502.10005v1,Discovering Polynomial and Quadratic Structure in Nonlinear Ordinary Differential Equations,Boris Kramer; Gleb Pogudin,,,0,1,6,NA-only
1583,2502.09984v1,Verified error bounds for the singular values of structured matrices with applications to computer-assisted proofs for differential equations,Takeshi Terao; Yoshitaka Watanabe; Katsuhisa Ozaki,,,0,1,56,NA-only
1584,2502.09898v1,"Optimal lower Lipschitz bounds for ReLU layers, saturation, and phase retrieval",Daniel Freeman; Daniel Haider,,,0,1,5,NA-only
1585,2502.09842v1,"Efficient, Accurate, and Robust Penalty-Projection Algorithm for Parameterized Stochastic Navier-Stokes Flow Problems",Neethu Suma Raveendran; Md. Abdul Aziz; Sivaguru S. Ravindran; Muhammad Mohebujjaman,,,0,1,9,NA-only
1586,2502.09823v1,Compression Properties for large Toeplitz-like matrices,Bernhard Beckermann; Daniel Kressner; Heather Wilber,,,0,1,1,NA-only
1587,2502.09794v1,Reconstruction of frequency-localized functions from pointwise samples via least squares and deep learning,A. Martina Neuman; Andres Felipe Lerma Pineda; Jason J. Bramburger; Simone Brugiapaglia,,,0,1,5,NA-only
1588,2502.09760v1,Self-consistent bounds method for dissipative PDEs,Daniel Wilczak; Piotr Zgliczyński,AP_NA,AP;NA,1,1,0,AP+NA
1589,2502.09758v2,Fast Inexact Bilevel Optimization for Analytical Deep Image Priors,Mohammad Sadegh Salehi; Tatiana A. Bubba; Yury Korolev,,,0,1,5,NA-only
1590,2502.09754v1,"Robust Adaptive Meshing, Mesh Density Functions, and Nonlocal Observations for Ensemble Based Data Assimilation",Jeremiah Buenger; Weizhang Huang; Erik Van Vleck,,,0,1,42,NA-only
1591,2502.09737v1,"Adjoint of Least Squares Shadowing: Existence, Uniqueness and Coarse Domain Discretization",Pranshul Thakur; Siva Nadarajah,,,0,1,7,NA-only
1592,2502.09550v1,A Nitsche method for incompressible fluids with general dynamic boundary conditions,Pablo Alexei Gazca-Orozco; Franz Gmeineder; Erika Maringová Kokavcová; Tabea Tscherpel,,,0,1,9,NA-only
1593,2502.09537v1,Explicit and CPU/GPU parallel energy-preserving schemes for the Klein-Gordon-Schrödinger equations,Xuelong Gu; Yushun Wang; Ziyu Wu; Jiaquan Gao; Wenjun Cai,,,0,1,9,NA-only
1594,2502.19430v1,A systematic literature review on the application of analytical approaches and mathematical programming in public bus transit network design and operations planning: Part II,Reza Mahmoudi; Saeid Saidi; S. Chan Wirasinghe,,,0,1,7,NA-only
1595,2502.09508v1,A systematic literature review on the application of analytical approaches and mathematical programming in public bus transit network design and operations planning: Part I,Reza Mahmoudi; Saeid Saidi; S. Chan Wirasinghe,,,0,1,7,NA-only
1596,2502.09429v1,Fatigue reliability analysis of offshore wind turbines under combined wind-wave excitation via DPIM,Jingyi Ding; Hanshu Chen; Xiaoting Liu; Youssef F. Rashed; Zhuojia Fu,,,0,1,193,NA-only
1597,2502.09428v1,Multicontinuum Modeling of Time-Fractional Diffusion-Wave Equation in Heterogeneous Media,Huiran Bai; Dmitry Ammosov; Yin Yang; Wei Xie; Mohammed Al Kobaisi,AP_NA,AP;NA,1,1,14,AP+NA
1598,2502.09413v2,Analysis of harmonic average method for interface problems with discontinuous solutions and fluxes,Kejia Pan; Hengrui Xu; Zhilin Li,,,0,1,0,NA-only
1599,2502.09410v1,Parameter Robust Isogeometric Methods for a Four-Field Formulation of Biot's Consolidation Model,Hanyu Chu; Luca Franco Pavarino,,,0,1,9,NA-only
1600,2502.09398v1,Domain Overlapping Algorithm with Nonlinear Mapping for Collocation-Based Solutions of Eigenvalue Problems,Jinwei Yang; Vinod Srinivasan,,,0,1,15,NA-only
1601,2502.09381v1,Entropy stable reduced order modeling of nonlinear conservation laws using discontinuous Galerkin methods,Ray Qu; Akil Narayan; Jesse Chan,,,0,1,9,NA-only
1602,2502.09371v1,An initial-corrected splitting approach for convection-diffusion-reaction problems,Thi Tam Dang; Lukas Einkemmer; Alexander Ostermann,,,0,1,25,NA-only
1603,2502.09336v3,A finite element scheme for an optimal control problem on steady Navier-Stokes-Brinkman equations,Jorge Aguayo Araneda; Julie Merten,,,0,1,9,NA-only
1604,2502.09165v2,Generalizing Reduced Rank Extrapolation to Low-Rank Matrix Sequences,Pascal den Boef; Patrick Kürschner; Xiaobo Liu; Jos Maubach; Jens Saak; Wil Schilders; Jonas Schulze; Nathan van de Wouw,,,0,1,1,NA-only
1605,2502.09159v2,An hp Multigrid Approach for Tensor-Product Space-Time Finite Element Discretizations of the Stokes Equations,Nils Margenberg; Peter Munch; Markus Bause,,,0,1,28,NA-only
1606,2502.09025v1,Physics-based Machine Learning for Computational Fracture Mechanics,Fadi Aldakheel; Elsayed S. Elsayed; Yousef Heider; Oliver Weeger,,,0,1,14,NA-only
1607,2502.08998v1,Generic Structural Stability for $2 \times 2$ Systems of Hyperbolic Conservation Laws,Hong Kiat Tan; Andrea L. Bertozzi,AP_NA,AP;NA,1,1,10,AP+NA
1608,2502.08951v1,Asymptotic-Preserving Dynamical Low-Rank Method for the Stiff Nonlinear Boltzmann Equation,Lukas Einkemmer; Jingwei Hu; Shiheng Zhang,AP_NA,AP;NA,1,1,28,AP+NA
1609,2502.08783v1,Learning Discontinuous Galerkin Solutions to Elliptic Problems via Small Linear Convolutional Neural Networks,Adrian Celaya; Yimo Wang; David Fuentes; Beatrice Riviere,,,0,1,6,NA-only
1610,2502.08641v2,Constructing optimal Wannier functions via potential theory: isolated single band for matrix models,Hanwen Zhang,,,0,1,46,NA-only
1611,2502.08571v1,Projection Methods in the Context of Nematic Crystal Flow,Maximilian E. V. Reiter,,,0,1,13,NA-only
1612,2502.08553v1,Comprehensive Review of Analytical and Numerical Approaches in Earth-to-Air Heat Exchangers and Exergoeconomic Evaluations,Saeed Asadi; Mohsen Mohammadagha; Hajar Kazemi Naeini,,,0,1,50,NA-only
1613,2502.08470v1,Numerical Schemes for Signature Kernels,Thomas Cass; Francesco Piatti; Jeffrey Pei,AP_NA,AP;NA,1,1,20,AP+NA
1614,2502.08464v1,A Dynamical Variable-separation Method for Parameter-dependent Dynamical Systems,Liang Chen; Yaru Chen; Qiuqi Li; Tao Zhou,AP_NA,AP;NA,1,1,24,AP+NA
1615,2502.08370v1,Space-time parallel iterative solvers for the integration of parabolic problems,Andrés Arrarás; Francisco J. Gaspar; Iñigo Jimenez-Ciga; Laura Portero,,,0,1,28,NA-only
1616,2502.08306v1,A posteriori error control for a finite volume scheme for a cross-diffusion model of ion transport,Arne Berrens; Jan Giesselmann,,,0,1,25,NA-only
1617,2502.08295v1,Learning large scale industrial physics simulations,Fabien Casenave,,,0,1,21,NA-only
1618,2502.08194v1,Forward and Inverse Problems in Nonlinear Acoustics,Barbara Kaltenbacher,AP_NA,AP;NA,1,1,31,AP+NA
1619,2502.08043v1,Finite difference alternative WENO schemes with Riemann invariant-based local characteristic decompositions for compressible Euler equations,Yue Wu; Chi-Wang Shu,,,0,1,4,NA-only
1620,2502.08035v1,Global Convergence of ESPRIT with Preconditioned First-Order Methods for Spike Deconvolution,Joseph Gabet; Meghna Kalra; Maxime Ferreira Da Costa; Kiryung Lee,,,0,1,5,NA-only
1621,2502.08029v2,Understanding the Kronecker Matrix-Vector Complexity of Linear Algebra,Raphael A. Meyer; William Swartworth; David P. Woodruff,,,0,1,7,NA-only
1622,2502.07993v1,What is a Sketch-and-Precondition Derivation for Low-Rank Approximation? Inverse Power Error or Inverse Power Estimation?,Ruihan Xu; Yiping Lu,,,0,1,1,NA-only
1623,2502.07976v1,On positivity preservation of hybrid discontinuous Galerkin methods on hypergraphs,Petr Knobloch; Philip L. Lederer; Andreas Rupp,,,0,1,9,NA-only
1624,2502.07935v1,$\texttt{PrecisionLauricella}$: package for numerical computation of Lauricella functions depending on a parameter,M. A. Bezuglov; B. A. Kniehl; A. I. Onishchenko; O. L. Veretin,,,0,1,20,NA-only
1625,2502.07918v2,Filtered Markovian Projection: Dimensionality Reduction in Filtering for Stochastic Reaction Networks,Chiheb Ben Hammouda; Maksim Chupin; Sophia Münker; Raúl Tempone,,,0,1,21,NA-only
1626,2502.07722v2,A BDDC Preconditioner for the Cardiac EMI Model in three Dimensions,Fritz Goebel; Ngoc Mai Monica Huynh; Fatemeh Chegini; Luca Pavarino; Martin Weiser; Simone Scacchi; Hartwig Anzt,,,0,1,33,NA-only
1627,2502.07657v1,"Private Low-Rank Approximation for Covariance Matrices, Dyson Brownian Motion, and Eigenvalue-Gap Bounds for Gaussian Perturbations",Oren Mangoubi; Nisheeth K. Vishnoi,,,0,1,1,NA-only
1628,2502.07648v1,Method of moments for Gaussian mixtures: Implementation and benchmarks,Haley Colgate Kottler; Julia Lindberg; Jose Israel Rodriguez,,,0,1,21,NA-only
1629,2502.07638v1,On the relation between Galerkin approximations and canonical best-approximations of solutions to some non-linear Schrödinger equations,Muhammad Hassan; Yvon Maday; Yipeng Wang,,,0,1,13,NA-only
1630,2502.07574v1,A model reduction method for solving the eigenvalue problem of semiclassical random Schrödinger operators,Panchi Li; Zhiwen Zhang,AP_NA,AP;NA,1,1,13,AP+NA
1631,2502.07569v1,Efficient finite element methods for semiclassical nonlinear Schrödinger equations with random potentials,Panchi Li; Zhiwen Zhang,AP_NA,AP;NA,1,1,13,AP+NA
1632,2502.07558v1,Efficient Sparsification of Simplicial Complexes via Local Densities of States,Anton Savostianov; Michael T. Schaub; Nicola Guglielmi; Francesco Tudisco,,,0,1,8,NA-only
1633,2502.07548v1,A conservative semi-Lagrangian scheme for the ellipsoidal BGK model of the Boltzmann equation,Sebastiano Boscarino; Seung Yeon Cho; Giovanni Russo; Seok-Bae Yun,,,0,1,19,NA-only
1634,2502.07517v1,Compact Runge-Kutta Flux Reconstruction for Hyperbolic Conservation Laws with admissibility preservation,Arpit Babbar; Qifan Chen,,,0,1,9,NA-only
1635,2502.07341v1,Operator splitting algorithm for structured population models on metric spaces,Carolin Lindow; Christian Düll; Piotr Gwiazda; Błażej Miasojedow; Anna Marciniak-Czochra,,,0,1,8,NA-only
1636,2502.07325v1,Long-term simulation of physical and mechanical behaviors using curriculum-transfer-learning based physics-informed neural networks,Yuan Guo; Zhuojia Fu; Jian Min; Shiyu Lin; Xiaoting Liu; Youssef F. Rashed; Xiaoying Zhuang,,,0,1,6,NA-only
1637,2502.07155v1,Nonequispaced fast Fourier transforms for bandlimited functions,Melanie Kircheis; Daniel Potts,,,0,1,5,NA-only
1638,2502.07123v1,A nested MLMC framework for efficient simulations on FPGAs,Irina-Beatrice Haas; Michael B. Giles,,,0,1,194,NA-only
1639,2502.07114v1,Online Covariance Matrix Estimation in Sketched Newton Methods,Wei Kuang; Mihai Anitescu; Sen Na,,,0,1,1,NA-only
1640,2502.07093v1,Neural network-motivated regularity analysis of inverse problems and application to inverse scattering,Mahadevan Ganesh; Stuart C. Hawkins; Darko Volkov,AP_NA,AP;NA,1,1,21,AP+NA
1641,2502.07055v1,Stable Spectral-Volume Methods,Lena Schadt,AP_NA,AP;NA,1,1,9,AP+NA
1642,2502.07047v1,A Closed-Form Transition Density Expansion for Elliptic and Hypo-Elliptic SDEs,Yuga Iguchi; Alexandros Beskos,,,0,1,7,NA-only
1643,2502.07040v1,Robust high-order low-rank BUG integrators based on explicit Runge-Kutta methods,Fabio Nobile; Sébastien Riffaud,,,0,1,24,NA-only
1644,2502.06689v1,Neumann eigenmaps for landmark embedding,Shashank Sule; Wojciech Czaja,,,0,1,8,NA-only
1645,2502.06673v1,Selecting Optimal Sampling Rate for Stable Super-Resolution,Nuha Diab,,,0,1,5,NA-only
1646,2502.06595v1,Surrogate models for diffusion on graphs via sparse polynomials,Giuseppe Alessio D'Inverno; Kylian Ajavon; Simone Brugiapaglia,,,0,1,8,NA-only
1647,2502.06455v1,Analysis of a finite element method for the Stokes--Poisson--Boltzmann equations,Abeer F. AlSohaim; Ricardo Ruiz-Baier; Segundo Villa-Fuentes,,,0,1,9,NA-only
1648,2502.06405v1,Hybrid Schwarz preconditioners for linear systems arising from hp-discontinuous Galerkin method,Vit Dolejsi; Tomas Hammerbauer,,,0,1,16,NA-only
1649,2502.06391v1,Modelization of the bonding process for a non-woven fabric: analysis and numerics,F. Bagagiolo; E. Bertolazzi; L. Marzufero; A. Pegoretti; D. Rigotti,,,0,1,195,NA-only
1650,2502.06377v1,An Iterative Block Matrix Inversion (IBMI) Algorithm for Symmetric Positive Definite Matrices with Applications to Covariance Matrices,Ann Paterson; Jennifer Pestana; Victorita Dolean Maini,,,0,1,1,NA-only
1651,2502.06330v1,Performance Analysis of Multi-Hop Networks at Terahertz Frequencies,Sara Cavallero; Andrea Pumilia; Giampaolo Cuozzo; Alessia Tarozzi; Chiara Buratti; Roberto Verdone,,,0,1,41,NA-only
